No.,Time,Time 1,Time 2,Delay,Delay 1,Delay 2,Jitter
1,0,0,0.000052,0.000052,-0.00614,-0.012332,-0.006192
2,0.000052,0.000052,0.006244,0.006192,0.006192,0.006192,0
3,0.006244,0.006244,0.006244,0,0,0,0
4,0.006244,0.006244,0.006244,0,0,0,0
5,0.006244,0.006244,0.006244,0,0,0,0
6,0.006244,0.006244,0.006244,0,0,6.1E-05,6.1E-05
7,0.006244,0.006244,0.006244,0,-6.1E-05,-5.7E-05,4E-06
8,0.006244,0.006244,0.006305,6.1E-05,-4E-06,-3E-05,-0.000026
9,0.006305,0.006305,0.00637,0.000065,0.000026,2.9E-05,3E-06
10,0.00637,0.00637,0.006409,0.000039,-3E-06,-3.2E-05,-2.9E-05
11,0.006409,0.006409,0.006451,4.2E-05,2.9E-05,0.000052,2.3E-05
12,0.006451,0.006451,0.006464,0.000013,-2.3E-05,-5.9E-05,-3.6E-05
13,0.006464,0.006464,0.0065,3.6E-05,3.6E-05,3.6E-05,0
14,0.0065,0.0065,0.0065,0,0,0,0
15,0.0065,0.0065,0.0065,0,0,0,0
16,0.0065,0.0065,0.0065,0,0,0,0
17,0.0065,0.0065,0.0065,0,0,0,0
18,0.0065,0.0065,0.0065,0,0,0,0
19,0.0065,0.0065,0.0065,0,0,0,0
20,0.0065,0.0065,0.0065,0,0,0,0
21,0.0065,0.0065,0.0065,0,0,2.9E-05,2.9E-05
22,0.0065,0.0065,0.0065,0,-2.9E-05,-1E-06,2.8E-05
23,0.0065,0.0065,0.006529,2.9E-05,-2.8E-05,-8.5E-05,-5.7E-05
24,0.006529,0.006529,0.006586,5.7E-05,5.7E-05,7.4E-05,1.7E-05
25,0.006586,0.006586,0.006586,0,-1.7E-05,0.004915,0.004932
26,0.006586,0.006586,0.006603,1.7E-05,-0.004932,-0.009833,-0.004901
27,0.006603,0.006603,0.011552,0.004949,0.004901,0.004929,2.8E-05
28,0.011552,0.011552,0.0116,4.8E-05,-2.8E-05,0.017391,0.017419
29,0.0116,0.0116,0.011676,7.6E-05,-0.017419,-0.034914,-0.017495
30,0.011676,0.011676,0.029171,0.017495,0.017495,0.017546,5.1E-05
31,0.029171,0.029171,0.029171,0,-5.1E-05,0.000488,0.000539
32,0.029171,0.029171,0.029222,5.1E-05,-0.000539,-0.001103,-0.000564
33,0.029222,0.029222,0.029812,0.00059,0.000564,0.004673,0.004109
34,0.029812,0.029812,0.029838,2.6E-05,-0.004109,-0.006959,-0.00285
35,0.029838,0.029838,0.033973,0.004135,0.00285,0.001601,-0.001249
36,0.033973,0.033973,0.035258,0.001285,0.001249,0.001266,1.7E-05
37,0.035258,0.035258,0.035294,3.6E-05,-1.7E-05,-5.7E-05,-4E-05
38,0.035294,0.035294,0.035347,5.3E-05,4E-05,0.001017,0.000977
39,0.035347,0.035347,0.03536,1.3E-05,-0.000977,-0.001967,-0.00099
40,0.03536,0.03536,0.03635,0.00099,0.00099,0.00099,0
41,0.03635,0.03635,0.03635,0,0,2.3E-05,2.3E-05
42,0.03635,0.03635,0.03635,0,-2.3E-05,0.000145,0.000168
43,0.03635,0.03635,0.036373,2.3E-05,-0.000168,-0.000347,-0.000179
44,0.036373,0.036373,0.036564,0.000191,0.000179,0.004769,0.00459
45,0.036564,0.036564,0.036576,1.2E-05,-0.00459,-0.009192,-0.004602
46,0.036576,0.036576,0.041178,0.004602,0.004602,0.004602,0
47,0.041178,0.041178,0.041178,0,0,0,0
48,0.041178,0.041178,0.041178,0,0,5E-05,5E-05
49,0.041178,0.041178,0.041178,0,-5E-05,0.012428,0.012478
50,0.041178,0.041178,0.041228,5E-05,-0.012478,-0.025006,-0.012528
51,0.041228,0.041228,0.053756,0.012528,0.012528,0.012528,0
52,0.053756,0.053756,0.053756,0,0,0,0
53,0.053756,0.053756,0.053756,0,0,5.7E-05,5.7E-05
54,0.053756,0.053756,0.053756,0,-5.7E-05,0.022449,0.022506
55,0.053756,0.053756,0.053813,5.7E-05,-0.022506,-0.044984,-0.022478
56,0.053813,0.053813,0.076376,0.022563,0.022478,0.022481,3E-06
57,0.076376,0.076376,0.076461,8.5E-05,-3E-06,-7.5E-05,-7.2E-05
58,0.076461,0.076461,0.076549,8.8E-05,7.2E-05,0.000164,9.2E-05
59,0.076549,0.076549,0.076565,1.6E-05,-9.2E-05,-0.0002,-0.000108
60,0.076565,0.076565,0.076673,0.000108,0.000108,0.000121,1.3E-05
61,0.076673,0.076673,0.076673,0,-1.3E-05,7.2E-05,8.5E-05
62,0.076673,0.076673,0.076686,1.3E-05,-8.5E-05,-0.000172,-8.7E-05
63,0.076686,0.076686,0.076784,9.8E-05,8.7E-05,0.00146,0.001373
64,0.076784,0.076784,0.076795,1.1E-05,-0.001373,-0.002739,-0.001366
65,0.076795,0.076795,0.078179,0.001384,0.001366,0.005107,0.003741
66,0.078179,0.078179,0.078197,1.8E-05,-0.003741,-0.00745,-0.003709
67,0.078197,0.078197,0.081956,0.003759,0.003709,0.009979,0.00627
68,0.081956,0.081956,0.082006,5E-05,-0.00627,-0.01259,-0.00632
69,0.082006,0.082006,0.088326,0.00632,0.00632,0.006372,5.2E-05
70,0.088326,0.088326,0.088326,0,-5.2E-05,0.005005,0.005057
71,0.088326,0.088326,0.088378,5.2E-05,-0.005057,-0.010117,-0.00506
72,0.088378,0.088378,0.093487,0.005109,0.00506,0.007437,0.002377
73,0.093487,0.093487,0.093536,4.9E-05,-0.002377,0.023865,0.026242
74,0.093536,0.093536,0.095962,0.002426,-0.026242,-0.05491,-0.028668
75,0.095962,0.095962,0.12463,0.028668,0.028668,0.028668,0
76,0.12463,0.12463,0.12463,0,0,0,0
77,0.12463,0.12463,0.12463,0,0,0,0
78,0.12463,0.12463,0.12463,0,0,0,0
79,0.12463,0.12463,0.12463,0,0,0,0
80,0.12463,0.12463,0.12463,0,0,0,0
81,0.12463,0.12463,0.12463,0,0,0,0
82,0.12463,0.12463,0.12463,0,0,8E-05,8E-05
83,0.12463,0.12463,0.12463,0,-8E-05,0.005844,0.005924
84,0.12463,0.12463,0.12471,8E-05,-0.005924,-0.01141,-0.005486
85,0.12471,0.12471,0.130714,0.006004,0.005486,0.004968,-0.000518
86,0.130714,0.130714,0.131232,0.000518,0.000518,0.000557,3.9E-05
87,0.131232,0.131232,0.131232,0,-3.9E-05,0.026968,0.027007
88,0.131232,0.131232,0.131271,3.9E-05,-0.027007,-0.054053,-0.027046
89,0.131271,0.131271,0.158317,0.027046,0.027046,0.027046,0
90,0.158317,0.158317,0.158317,0,0,0,0
91,0.158317,0.158317,0.158317,0,0,0,0
92,0.158317,0.158317,0.158317,0,0,0,0
93,0.158317,0.158317,0.158317,0,0,0,0
94,0.158317,0.158317,0.158317,0,0,0,0
95,0.158317,0.158317,0.158317,0,0,0,0
96,0.158317,0.158317,0.158317,0,0,0.00011,0.00011
97,0.158317,0.158317,0.158317,0,-0.00011,0.002704,0.002814
98,0.158317,0.158317,0.158427,0.00011,-0.002814,-0.005679,-0.002865
99,0.158427,0.158427,0.161351,0.002924,0.002865,0.002887,2.2E-05
100,0.161351,0.161351,0.16141,5.9E-05,-2.2E-05,-8.8E-05,-6.6E-05
101,0.16141,0.16141,0.161491,8.1E-05,6.6E-05,9.4E-05,2.8E-05
102,0.161491,0.161491,0.161506,1.5E-05,-2.8E-05,-5.9E-05,-3.1E-05
103,0.161506,0.161506,0.161549,4.3E-05,3.1E-05,0.000127,9.6E-05
104,0.161549,0.161549,0.161561,1.2E-05,-9.6E-05,-0.000192,-9.6E-05
